# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 26K of event 'cpu-clock'
# Event count (approx.): 6504250000
#
# Overhead  Command          Shared Object      Symbol                                 
# ........  ...............  .................  .......................................
#
    25.13%  huffman_test_pe  huffman_test_perf  [.] decode
    16.29%  huffman_test_pe  huffman_test_perf  [.] encode
     9.35%  huffman_test_pe  [kernel.kallsyms]  [k] kmap_atomic
     8.63%  huffman_test_pe  [kernel.kallsyms]  [k] __kunmap_atomic
     6.96%  huffman_test_pe  [kernel.kallsyms]  [k] do_page_fault
     3.77%  huffman_test_pe  [kernel.kallsyms]  [k] flush_tlb_page
     3.34%  huffman_test_pe  [kernel.kallsyms]  [k] handle_mm_fault
     2.96%  huffman_test_pe  [kernel.kallsyms]  [k] cpu_v7_set_pte_ext
     2.29%  huffman_test_pe  [kernel.kallsyms]  [k] wp_page_copy
     1.71%  huffman_test_pe  [kernel.kallsyms]  [k] get_page_from_freelist
     1.27%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     1.17%  huffman_test_pe  [kernel.kallsyms]  [k] copy_page
     1.11%  huffman_test_pe  [kernel.kallsyms]  [k] erratum_a15_798181_broadcast
     1.05%  huffman_test_pe  [kernel.kallsyms]  [k] __lock_text_start
     1.00%  huffman_test_pe  [kernel.kallsyms]  [k] do_wp_page
     0.97%  huffman_test_pe  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.81%  huffman_test_pe  [kernel.kallsyms]  [k] __alloc_pages_nodemask
     0.77%  huffman_test_pe  [kernel.kallsyms]  [k] v6_copy_user_highpage_nonaliasing
     0.73%  huffman_test_pe  [kernel.kallsyms]  [k] try_charge
     0.72%  huffman_test_pe  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.70%  huffman_test_pe  [kernel.kallsyms]  [k] mmioset
     0.66%  huffman_test_pe  [kernel.kallsyms]  [k] _cond_resched
     0.59%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_try_charge
     0.50%  huffman_test_pe  [kernel.kallsyms]  [k] __mod_node_page_state
     0.46%  huffman_test_pe  [kernel.kallsyms]  [k] ptep_clear_flush
     0.44%  huffman_test_pe  [kernel.kallsyms]  [k] free_unref_page_list
     0.35%  huffman_test_pe  [kernel.kallsyms]  [k] _vm_normal_page
     0.33%  huffman_test_pe  [kernel.kallsyms]  [k] page_remove_rmap
