# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 23K of event 'cpu-clock'
# Event count (approx.): 5984000000
#
# Overhead  Command          Shared Object      Symbol                                 
# ........  ...............  .................  .......................................
#
    33.05%  huffman_test_pe  huffman_test_perf  [.] decode
    16.45%  huffman_test_pe  huffman_test_perf  [.] encode
     7.23%  huffman_test_pe  [kernel.kallsyms]  [k] do_page_fault
     5.97%  huffman_test_pe  [kernel.kallsyms]  [k] kmap_atomic
     5.55%  huffman_test_pe  [kernel.kallsyms]  [k] __kunmap_atomic
     3.65%  huffman_test_pe  [kernel.kallsyms]  [k] handle_mm_fault
     3.23%  huffman_test_pe  [kernel.kallsyms]  [k] flush_tlb_page
     2.39%  huffman_test_pe  [kernel.kallsyms]  [k] get_page_from_freelist
     1.86%  huffman_test_pe  [kernel.kallsyms]  [k] wp_page_copy
     1.70%  huffman_test_pe  [kernel.kallsyms]  [k] cpu_v7_set_pte_ext
     1.47%  huffman_test_pe  [kernel.kallsyms]  [k] copy_page
     1.25%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     0.95%  huffman_test_pe  [kernel.kallsyms]  [k] __alloc_pages_nodemask
     0.93%  huffman_test_pe  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.91%  huffman_test_pe  [kernel.kallsyms]  [k] erratum_a15_798181_broadcast
     0.88%  huffman_test_pe  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.79%  huffman_test_pe  [kernel.kallsyms]  [k] try_charge
     0.74%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_try_charge
     0.73%  huffman_test_pe  [kernel.kallsyms]  [k] do_wp_page
     0.66%  huffman_test_pe  [kernel.kallsyms]  [k] mmioset
     0.61%  huffman_test_pe  [kernel.kallsyms]  [k] __lock_text_start
     0.56%  huffman_test_pe  [kernel.kallsyms]  [k] free_unref_page_list
     0.52%  huffman_test_pe  [kernel.kallsyms]  [k] __mod_node_page_state
     0.49%  huffman_test_pe  [kernel.kallsyms]  [k] _cond_resched
     0.43%  huffman_test_pe  [kernel.kallsyms]  [k] v6_copy_user_highpage_nonaliasing
     0.40%  huffman_test_pe  [kernel.kallsyms]  [k] page_remove_rmap
     0.35%  huffman_test_pe  [kernel.kallsyms]  [k] ptep_clear_flush
     0.34%  huffman_test_pe  [kernel.kallsyms]  [k] vmacache_find
     0.31%  huffman_test_pe  [kernel.kallsyms]  [k] _vm_normal_page
