# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 28K of event 'cpu-clock'
# Event count (approx.): 7245250000
#
# Overhead  Command          Shared Object      Symbol                                 
# ........  ...............  .................  .......................................
#
    28.83%  huffman_test_pe  huffman_test_perf  [.] decode
    12.67%  huffman_test_pe  huffman_test_perf  [.] encode
     8.76%  huffman_test_pe  [kernel.kallsyms]  [k] kmap_atomic
     8.25%  huffman_test_pe  [kernel.kallsyms]  [k] __kunmap_atomic
     7.45%  huffman_test_pe  [kernel.kallsyms]  [k] do_page_fault
     4.34%  huffman_test_pe  [kernel.kallsyms]  [k] handle_mm_fault
     2.86%  huffman_test_pe  [kernel.kallsyms]  [k] cpu_v7_set_pte_ext
     2.52%  huffman_test_pe  [kernel.kallsyms]  [k] flush_tlb_page
     2.15%  huffman_test_pe  [kernel.kallsyms]  [k] get_page_from_freelist
     1.76%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     1.67%  huffman_test_pe  [kernel.kallsyms]  [k] wp_page_copy
     1.16%  huffman_test_pe  [kernel.kallsyms]  [k] copy_page
     1.05%  huffman_test_pe  [kernel.kallsyms]  [k] mmioset
     1.00%  huffman_test_pe  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.91%  huffman_test_pe  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.89%  huffman_test_pe  [kernel.kallsyms]  [k] try_charge
     0.88%  huffman_test_pe  [kernel.kallsyms]  [k] __alloc_pages_nodemask
     0.87%  huffman_test_pe  [kernel.kallsyms]  [k] erratum_a15_798181_broadcast
     0.83%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_try_charge
     0.75%  huffman_test_pe  [kernel.kallsyms]  [k] do_wp_page
     0.65%  huffman_test_pe  [kernel.kallsyms]  [k] __lock_text_start
     0.56%  huffman_test_pe  [kernel.kallsyms]  [k] free_unref_page_list
     0.52%  huffman_test_pe  [kernel.kallsyms]  [k] __mod_node_page_state
     0.52%  huffman_test_pe  [kernel.kallsyms]  [k] v6_copy_user_highpage_nonaliasing
     0.47%  huffman_test_pe  [kernel.kallsyms]  [k] _cond_resched
     0.41%  huffman_test_pe  [kernel.kallsyms]  [k] vmacache_find
     0.38%  huffman_test_pe  [kernel.kallsyms]  [k] page_add_new_anon_rmap
     0.37%  huffman_test_pe  [kernel.kallsyms]  [k] v6_clear_user_highpage_nonaliasing
     0.35%  huffman_test_pe  [kernel.kallsyms]  [k] lru_cache_add_active_or_unevictable
     0.30%  huffman_test_pe  [kernel.kallsyms]  [k] _vm_normal_page
     0.30%  huffman_test_pe  [kernel.kallsyms]  [k] bad_range
     0.29%  huffman_test_pe  [kernel.kallsyms]  [k] page_remove_rmap
     0.28%  huffman_test_pe  [kernel.kallsyms]  [k] page_address
     0.28%  huffman_test_pe  [kernel.kallsyms]  [k] __sync_icache_dcache
     0.28%  huffman_test_pe  [kernel.kallsyms]  [k] ptep_clear_flush
     0.27%  huffman_test_pe  [kernel.kallsyms]  [k] add_mm_counter_fast
     0.26%  huffman_test_pe  [kernel.kallsyms]  [k] up_read
     0.23%  huffman_test_pe  [kernel.kallsyms]  [k] __lru_cache_add
     0.22%  huffman_test_pe  [kernel.kallsyms]  [k] rcu_all_qs
     0.22%  huffman_test_pe  [kernel.kallsyms]  [k] find_vma
     0.22%  huffman_test_pe  [kernel.kallsyms]  [k] run_timer_softirq
     0.20%  huffman_test_pe  [kernel.kallsyms]  [k] do_DataAbort
     0.20%  huffman_test_pe  [kernel.kallsyms]  [k] unlock_page_memcg
     0.19%  huffman_test_pe  [kernel.kallsyms]  [k] filemap_map_pages
     0.17%  huffman_test_pe  [kernel.kallsyms]  [k] lru_cache_add
     0.17%  huffman_test_pe  [kernel.kallsyms]  [k] ret_from_exception
     0.14%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_from_task
     0.14%  huffman_test_pe  [kernel.kallsyms]  [k] __dabt_usr
     0.14%  huffman_test_pe  [kernel.kallsyms]  [k] __page_set_anon_rmap
     0.13%  huffman_test_pe  [kernel.kallsyms]  [k] _set_bit
     0.12%  huffman_test_pe  [kernel.kallsyms]  [k] alloc_set_pte
     0.11%  huffman_test_pe  [kernel.kallsyms]  [k] unmap_page_range
     0.08%  huffman_test_pe  [kernel.kallsyms]  [k] do_memsw_account
     0.08%  huffman_test_pe  [kernel.kallsyms]  [k] flush_cache_page
     0.08%  huffman_test_pe  [kernel.kallsyms]  [k] __zone_watermark_ok
     0.07%  huffman_test_pe  [kernel.kallsyms]  [k] page_add_file_rmap
     0.06%  huffman_test_pe  [kernel.kallsyms]  [k] free_unref_page_prepare
     0.06%  huffman_test_pe  [kernel.kallsyms]  [k] release_pages
     0.06%  huffman_test_pe  [kernel.kallsyms]  [k] uncharge_page
     0.06%  huffman_test_pe  [kernel.kallsyms]  [k] lock_page_memcg
     0.05%  huffman_test_pe  [kernel.kallsyms]  [k] __unlock_page_memcg
     0.04%  huffman_test_pe  [kernel.kallsyms]  [k] __dec_node_page_state
     0.04%  huffman_test_pe  [kernel.kallsyms]  [k] __softirqentry_text_start
     0.04%  huffman_test_pe  [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.04%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_uncharge_list
     0.04%  huffman_test_pe  [kernel.kallsyms]  [k] pagevec_lru_move_fn
     0.04%  huffman_test_pe  [kernel.kallsyms]  [k] radix_tree_next_chunk
     0.03%  huffman_test_pe  [kernel.kallsyms]  [k] _test_and_set_bit
     0.03%  huffman_test_pe  [kernel.kallsyms]  [k] ret_to_user
     0.03%  huffman_test_pe  [kernel.kallsyms]  [k] _clear_bit
     0.03%  huffman_test_pe  [kernel.kallsyms]  [k] page_counter_try_charge
     0.02%  huffman_test_pe  [kernel.kallsyms]  [k] refill_stock
     0.02%  huffman_test_pe  [kernel.kallsyms]  [k] unlock_page
     0.02%  huffman_test_pe  [kernel.kallsyms]  [k] finish_task_switch
     0.01%  huffman_test_pe  [kernel.kallsyms]  [k] __dec_node_state
     0.01%  huffman_test_pe  [kernel.kallsyms]  [k] down_read_trylock
     0.01%  huffman_test_pe  [kernel.kallsyms]  [k] flush_tlb_mm
     0.01%  huffman_test_pe  ld-2.28.so         [.] __aeabi_uidiv
     0.01%  huffman_test_pe  [kernel.kallsyms]  [k] kmem_cache_alloc
     0.01%  huffman_test_pe  [kernel.kallsyms]  [k] propagate_protected_usage
     0.01%  huffman_test_pe  [kernel.kallsyms]  [k] radix_tree_load_root
     0.01%  huffman_test_pe  [kernel.kallsyms]  [k] strnlen_user
     0.01%  huffman_test_pe  ld-2.28.so         [.] _dl_start
     0.01%  huffman_test_pe  ld-2.28.so         [.] strlen
     0.01%  huffman_test_pe  [kernel.kallsyms]  [k] __fput
     0.01%  huffman_test_pe  [kernel.kallsyms]  [k] __pte_alloc
     0.01%  huffman_test_pe  [kernel.kallsyms]  [k] inc_zone_page_state
     0.01%  huffman_test_pe  [kernel.kallsyms]  [k] kmem_cache_free
