# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 34K of event 'cpu-clock'
# Event count (approx.): 8609500000
#
# Overhead  Command          Shared Object      Symbol                                    
# ........  ...............  .................  ..........................................
#
    27.17%  huffman_test_pe  huffman_test_perf  [.] decode
    14.21%  huffman_test_pe  huffman_test_perf  [.] encode
     9.29%  huffman_test_pe  [kernel.kallsyms]  [k] kmap_atomic
     8.16%  huffman_test_pe  [kernel.kallsyms]  [k] __kunmap_atomic
     7.52%  huffman_test_pe  [kernel.kallsyms]  [k] do_page_fault
     4.46%  huffman_test_pe  [kernel.kallsyms]  [k] handle_mm_fault
     2.83%  huffman_test_pe  [kernel.kallsyms]  [k] cpu_v7_set_pte_ext
     2.17%  huffman_test_pe  [kernel.kallsyms]  [k] flush_tlb_page
     2.13%  huffman_test_pe  [kernel.kallsyms]  [k] get_page_from_freelist
     1.55%  huffman_test_pe  [kernel.kallsyms]  [k] wp_page_copy
     1.54%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     1.14%  huffman_test_pe  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     1.12%  huffman_test_pe  [kernel.kallsyms]  [k] mmioset
     1.07%  huffman_test_pe  [kernel.kallsyms]  [k] copy_page
     1.03%  huffman_test_pe  [kernel.kallsyms]  [k] __alloc_pages_nodemask
     1.01%  huffman_test_pe  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.83%  huffman_test_pe  [kernel.kallsyms]  [k] try_charge
     0.76%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_try_charge
     0.75%  huffman_test_pe  [kernel.kallsyms]  [k] _cond_resched
     0.73%  huffman_test_pe  [kernel.kallsyms]  [k] do_wp_page
     0.69%  huffman_test_pe  [kernel.kallsyms]  [k] __lock_text_start
     0.56%  huffman_test_pe  [kernel.kallsyms]  [k] erratum_a15_798181_broadcast
     0.56%  huffman_test_pe  [kernel.kallsyms]  [k] free_unref_page_list
     0.53%  huffman_test_pe  [kernel.kallsyms]  [k] vmacache_find
     0.46%  huffman_test_pe  [kernel.kallsyms]  [k] __mod_node_page_state
     0.46%  huffman_test_pe  [kernel.kallsyms]  [k] v6_copy_user_highpage_nonaliasing
     0.39%  huffman_test_pe  [kernel.kallsyms]  [k] v6_clear_user_highpage_nonaliasing
     0.36%  huffman_test_pe  [kernel.kallsyms]  [k] bad_range
     0.34%  huffman_test_pe  [kernel.kallsyms]  [k] add_mm_counter_fast
     0.33%  huffman_test_pe  [kernel.kallsyms]  [k] find_vma
     0.32%  huffman_test_pe  [kernel.kallsyms]  [k] rcu_all_qs
     0.31%  huffman_test_pe  [kernel.kallsyms]  [k] page_add_new_anon_rmap
     0.29%  huffman_test_pe  [kernel.kallsyms]  [k] lru_cache_add_active_or_unevictable
     0.28%  huffman_test_pe  [kernel.kallsyms]  [k] __sync_icache_dcache
     0.27%  huffman_test_pe  [kernel.kallsyms]  [k] _vm_normal_page
     0.26%  huffman_test_pe  [kernel.kallsyms]  [k] ptep_clear_flush
     0.24%  huffman_test_pe  [kernel.kallsyms]  [k] page_remove_rmap
     0.24%  huffman_test_pe  [kernel.kallsyms]  [k] __lru_cache_add
     0.24%  huffman_test_pe  [kernel.kallsyms]  [k] up_read
     0.23%  huffman_test_pe  [kernel.kallsyms]  [k] __dabt_usr
     0.22%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_from_task
     0.21%  huffman_test_pe  [kernel.kallsyms]  [k] run_timer_softirq
     0.19%  huffman_test_pe  [kernel.kallsyms]  [k] page_address
     0.16%  huffman_test_pe  [kernel.kallsyms]  [k] ret_from_exception
     0.16%  huffman_test_pe  [kernel.kallsyms]  [k] unlock_page_memcg
     0.15%  huffman_test_pe  [kernel.kallsyms]  [k] do_DataAbort
     0.13%  huffman_test_pe  [kernel.kallsyms]  [k] _set_bit
