# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 47K of event 'cpu-clock'
# Event count (approx.): 11980500000
#
# Overhead  Command          Shared Object      Symbol                                 
# ........  ...............  .................  .......................................
#
    52.52%  huffman_test_pe  huffman_test_perf  [.] decode
    10.84%  huffman_test_pe  huffman_test_perf  [.] encode
     6.22%  huffman_test_pe  [kernel.kallsyms]  [k] kmap_atomic
     5.49%  huffman_test_pe  [kernel.kallsyms]  [k] __kunmap_atomic
     4.38%  huffman_test_pe  [kernel.kallsyms]  [k] do_page_fault
     2.21%  huffman_test_pe  [kernel.kallsyms]  [k] handle_mm_fault
     2.04%  huffman_test_pe  [kernel.kallsyms]  [k] cpu_v7_set_pte_ext
     1.66%  huffman_test_pe  [kernel.kallsyms]  [k] flush_tlb_page
     1.21%  huffman_test_pe  [kernel.kallsyms]  [k] wp_page_copy
     1.04%  huffman_test_pe  [kernel.kallsyms]  [k] get_page_from_freelist
     0.82%  huffman_test_pe  [kernel.kallsyms]  [k] copy_page
     0.80%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     0.75%  huffman_test_pe  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.62%  huffman_test_pe  [kernel.kallsyms]  [k] v6_copy_user_highpage_nonaliasing
     0.54%  huffman_test_pe  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.53%  huffman_test_pe  [kernel.kallsyms]  [k] __alloc_pages_nodemask
     0.53%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_try_charge
     0.50%  huffman_test_pe  [kernel.kallsyms]  [k] do_wp_page
     0.48%  huffman_test_pe  [kernel.kallsyms]  [k] try_charge
     0.45%  huffman_test_pe  [kernel.kallsyms]  [k] mmioset
     0.40%  huffman_test_pe  [kernel.kallsyms]  [k] free_unref_page_list
     0.40%  huffman_test_pe  [kernel.kallsyms]  [k] erratum_a15_798181_broadcast
     0.39%  huffman_test_pe  [kernel.kallsyms]  [k] __lock_text_start
     0.38%  huffman_test_pe  [kernel.kallsyms]  [k] _cond_resched
     0.30%  huffman_test_pe  [kernel.kallsyms]  [k] __mod_node_page_state
     0.26%  huffman_test_pe  [kernel.kallsyms]  [k] vmacache_find
     0.22%  huffman_test_pe  [kernel.kallsyms]  [k] _vm_normal_page
     0.20%  huffman_test_pe  [kernel.kallsyms]  [k] run_timer_softirq
     0.20%  huffman_test_pe  [kernel.kallsyms]  [k] ptep_clear_flush
     0.19%  huffman_test_pe  [kernel.kallsyms]  [k] lru_cache_add_active_or_unevictable
     0.19%  huffman_test_pe  [kernel.kallsyms]  [k] add_mm_counter_fast
     0.18%  huffman_test_pe  [kernel.kallsyms]  [k] bad_range
