# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 62K of event 'cpu-clock'
# Event count (approx.): 15721500000
#
# Overhead  Command          Shared Object      Symbol                                 
# ........  ...............  .................  .......................................
#
    61.35%  huffman_test_pe  huffman_test_perf  [.] decode
     7.54%  huffman_test_pe  huffman_test_perf  [.] encode
     4.45%  huffman_test_pe  [kernel.kallsyms]  [k] do_page_fault
     4.08%  huffman_test_pe  [kernel.kallsyms]  [k] kmap_atomic
     3.95%  huffman_test_pe  [kernel.kallsyms]  [k] __kunmap_atomic
     2.29%  huffman_test_pe  [kernel.kallsyms]  [k] handle_mm_fault
     1.28%  huffman_test_pe  [kernel.kallsyms]  [k] cpu_v7_set_pte_ext
     1.26%  huffman_test_pe  [kernel.kallsyms]  [k] get_page_from_freelist
     1.22%  huffman_test_pe  [kernel.kallsyms]  [k] flush_tlb_page
     0.95%  huffman_test_pe  [kernel.kallsyms]  [k] wp_page_copy
     0.94%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     0.65%  huffman_test_pe  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.61%  huffman_test_pe  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.59%  huffman_test_pe  [kernel.kallsyms]  [k] copy_page
     0.59%  huffman_test_pe  [kernel.kallsyms]  [k] mmioset
     0.51%  huffman_test_pe  [kernel.kallsyms]  [k] __alloc_pages_nodemask
     0.48%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_try_charge
     0.48%  huffman_test_pe  [kernel.kallsyms]  [k] try_charge
     0.40%  huffman_test_pe  [kernel.kallsyms]  [k] __lock_text_start
     0.39%  huffman_test_pe  [kernel.kallsyms]  [k] __mod_node_page_state
     0.37%  huffman_test_pe  [kernel.kallsyms]  [k] erratum_a15_798181_broadcast
     0.36%  huffman_test_pe  [kernel.kallsyms]  [k] _cond_resched
     0.30%  huffman_test_pe  [kernel.kallsyms]  [k] v6_copy_user_highpage_nonaliasing
     0.29%  huffman_test_pe  [kernel.kallsyms]  [k] do_wp_page
     0.26%  huffman_test_pe  [kernel.kallsyms]  [k] free_unref_page_list
     0.23%  huffman_test_pe  [kernel.kallsyms]  [k] page_add_new_anon_rmap
     0.23%  huffman_test_pe  [kernel.kallsyms]  [k] vmacache_find
     0.21%  huffman_test_pe  [kernel.kallsyms]  [k] v6_clear_user_highpage_nonaliasing
     0.19%  huffman_test_pe  [kernel.kallsyms]  [k] lru_cache_add_active_or_unevictable
     0.18%  huffman_test_pe  [kernel.kallsyms]  [k] run_timer_softirq
     0.18%  huffman_test_pe  [kernel.kallsyms]  [k] add_mm_counter_fast
     0.17%  huffman_test_pe  [kernel.kallsyms]  [k] find_vma
     0.16%  huffman_test_pe  [kernel.kallsyms]  [k] up_read
     0.15%  huffman_test_pe  [kernel.kallsyms]  [k] page_remove_rmap
     0.14%  huffman_test_pe  [kernel.kallsyms]  [k] ptep_clear_flush
     0.13%  huffman_test_pe  [kernel.kallsyms]  [k] __lru_cache_add
     0.12%  huffman_test_pe  [kernel.kallsyms]  [k] __sync_icache_dcache
     0.12%  huffman_test_pe  [kernel.kallsyms]  [k] _vm_normal_page
     0.12%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_from_task
     0.11%  huffman_test_pe  [kernel.kallsyms]  [k] do_DataAbort
     0.11%  huffman_test_pe  [kernel.kallsyms]  [k] bad_range
     0.11%  huffman_test_pe  [kernel.kallsyms]  [k] rcu_all_qs
     0.10%  huffman_test_pe  [kernel.kallsyms]  [k] __dabt_usr
     0.10%  huffman_test_pe  [kernel.kallsyms]  [k] page_address
     0.10%  huffman_test_pe  [kernel.kallsyms]  [k] __page_set_anon_rmap
     0.10%  huffman_test_pe  [kernel.kallsyms]  [k] _set_bit
     0.09%  huffman_test_pe  [kernel.kallsyms]  [k] alloc_set_pte
