# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 49K of event 'cpu-clock'
# Event count (approx.): 12370750000
#
# Overhead  Command          Shared Object      Symbol                                 
# ........  ...............  .................  .......................................
#
    51.99%  huffman_test_pe  huffman_test_perf  [.] decode
     8.10%  huffman_test_pe  huffman_test_perf  [.] encode
     5.87%  huffman_test_pe  [kernel.kallsyms]  [k] kmap_atomic
     5.46%  huffman_test_pe  [kernel.kallsyms]  [k] __kunmap_atomic
     5.11%  huffman_test_pe  [kernel.kallsyms]  [k] do_page_fault
     2.91%  huffman_test_pe  [kernel.kallsyms]  [k] handle_mm_fault
     1.91%  huffman_test_pe  [kernel.kallsyms]  [k] flush_tlb_page
     1.88%  huffman_test_pe  [kernel.kallsyms]  [k] cpu_v7_set_pte_ext
     1.52%  huffman_test_pe  [kernel.kallsyms]  [k] get_page_from_freelist
     1.18%  huffman_test_pe  [kernel.kallsyms]  [k] wp_page_copy
     1.10%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     0.76%  huffman_test_pe  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.74%  huffman_test_pe  [kernel.kallsyms]  [k] mmioset
     0.66%  huffman_test_pe  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.66%  huffman_test_pe  [kernel.kallsyms]  [k] __alloc_pages_nodemask
     0.62%  huffman_test_pe  [kernel.kallsyms]  [k] copy_page
     0.58%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_try_charge
     0.58%  huffman_test_pe  [kernel.kallsyms]  [k] erratum_a15_798181_broadcast
     0.57%  huffman_test_pe  [kernel.kallsyms]  [k] try_charge
     0.53%  huffman_test_pe  [kernel.kallsyms]  [k] __lock_text_start
     0.44%  huffman_test_pe  [kernel.kallsyms]  [k] _cond_resched
     0.40%  huffman_test_pe  [kernel.kallsyms]  [k] do_wp_page
     0.38%  huffman_test_pe  [kernel.kallsyms]  [k] free_unref_page_list
     0.35%  huffman_test_pe  [kernel.kallsyms]  [k] __mod_node_page_state
     0.33%  huffman_test_pe  [kernel.kallsyms]  [k] v6_clear_user_highpage_nonaliasing
     0.32%  huffman_test_pe  [kernel.kallsyms]  [k] v6_copy_user_highpage_nonaliasing
     0.30%  huffman_test_pe  [kernel.kallsyms]  [k] vmacache_find
     0.25%  huffman_test_pe  [kernel.kallsyms]  [k] lru_cache_add_active_or_unevictable
     0.24%  huffman_test_pe  [kernel.kallsyms]  [k] add_mm_counter_fast
     0.23%  huffman_test_pe  [kernel.kallsyms]  [k] run_timer_softirq
     0.22%  huffman_test_pe  [kernel.kallsyms]  [k] page_add_new_anon_rmap
     0.20%  huffman_test_pe  [kernel.kallsyms]  [k] page_remove_rmap
     0.20%  huffman_test_pe  [kernel.kallsyms]  [k] ptep_clear_flush
     0.19%  huffman_test_pe  [kernel.kallsyms]  [k] __lru_cache_add
