# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 26K of event 'cpu-clock'
# Event count (approx.): 6653500000
#
# Overhead  Command          Shared Object      Symbol                                 
# ........  ...............  .................  .......................................
#
    24.65%  huffman_test_pe  huffman_test_perf  [.] decode
    15.60%  huffman_test_pe  huffman_test_perf  [.] encode
     9.32%  huffman_test_pe  [kernel.kallsyms]  [k] kmap_atomic
     8.84%  huffman_test_pe  [kernel.kallsyms]  [k] __kunmap_atomic
     7.47%  huffman_test_pe  [kernel.kallsyms]  [k] do_page_fault
     4.07%  huffman_test_pe  [kernel.kallsyms]  [k] flush_tlb_page
     3.26%  huffman_test_pe  [kernel.kallsyms]  [k] cpu_v7_set_pte_ext
     3.05%  huffman_test_pe  [kernel.kallsyms]  [k] handle_mm_fault
     2.40%  huffman_test_pe  [kernel.kallsyms]  [k] wp_page_copy
     1.66%  huffman_test_pe  [kernel.kallsyms]  [k] get_page_from_freelist
     1.29%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     1.18%  huffman_test_pe  [kernel.kallsyms]  [k] do_wp_page
     1.17%  huffman_test_pe  [kernel.kallsyms]  [k] erratum_a15_798181_broadcast
     1.16%  huffman_test_pe  [kernel.kallsyms]  [k] __lock_text_start
     1.04%  huffman_test_pe  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     1.01%  huffman_test_pe  [kernel.kallsyms]  [k] copy_page
     0.93%  huffman_test_pe  [kernel.kallsyms]  [k] v6_copy_user_highpage_nonaliasing
     0.79%  huffman_test_pe  [kernel.kallsyms]  [k] __alloc_pages_nodemask
     0.78%  huffman_test_pe  [kernel.kallsyms]  [k] try_charge
     0.76%  huffman_test_pe  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.74%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_try_charge
     0.72%  huffman_test_pe  [kernel.kallsyms]  [k] mmioset
     0.55%  huffman_test_pe  [kernel.kallsyms]  [k] free_unref_page_list
     0.43%  huffman_test_pe  [kernel.kallsyms]  [k] ptep_clear_flush
     0.42%  huffman_test_pe  [kernel.kallsyms]  [k] __mod_node_page_state
     0.39%  huffman_test_pe  [kernel.kallsyms]  [k] _cond_resched
     0.36%  huffman_test_pe  [kernel.kallsyms]  [k] _vm_normal_page
     0.33%  huffman_test_pe  [kernel.kallsyms]  [k] add_mm_counter_fast
