# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 24K of event 'cpu-clock'
# Event count (approx.): 6125000000
#
# Overhead  Command          Shared Object      Symbol                                 
# ........  ...............  .................  .......................................
#
    29.98%  huffman_test_pe  huffman_test_perf  [.] decode
    14.36%  huffman_test_pe  huffman_test_perf  [.] encode
     9.18%  huffman_test_pe  [kernel.kallsyms]  [k] kmap_atomic
     8.44%  huffman_test_pe  [kernel.kallsyms]  [k] __kunmap_atomic
     6.27%  huffman_test_pe  [kernel.kallsyms]  [k] do_page_fault
     3.35%  huffman_test_pe  [kernel.kallsyms]  [k] cpu_v7_set_pte_ext
     3.32%  huffman_test_pe  [kernel.kallsyms]  [k] flush_tlb_page
     2.98%  huffman_test_pe  [kernel.kallsyms]  [k] handle_mm_fault
     2.47%  huffman_test_pe  [kernel.kallsyms]  [k] wp_page_copy
     1.74%  huffman_test_pe  [kernel.kallsyms]  [k] get_page_from_freelist
     1.37%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     1.02%  huffman_test_pe  [kernel.kallsyms]  [k] copy_page
     0.94%  huffman_test_pe  [kernel.kallsyms]  [k] erratum_a15_798181_broadcast
     0.92%  huffman_test_pe  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.89%  huffman_test_pe  [kernel.kallsyms]  [k] __lock_text_start
     0.89%  huffman_test_pe  [kernel.kallsyms]  [k] v6_copy_user_highpage_nonaliasing
     0.83%  huffman_test_pe  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.82%  huffman_test_pe  [kernel.kallsyms]  [k] do_wp_page
     0.75%  huffman_test_pe  [kernel.kallsyms]  [k] try_charge
     0.71%  huffman_test_pe  [kernel.kallsyms]  [k] mem_cgroup_try_charge
     0.60%  huffman_test_pe  [kernel.kallsyms]  [k] mmioset
     0.58%  huffman_test_pe  [kernel.kallsyms]  [k] __alloc_pages_nodemask
